,mp_total,mp_total,fg_total,fga_total,fg%_total,3p_total,3pa_total,3p%_total,ft_total,fta_total,ft%_total,orb_total,drb_total,trb_total,ast_total,stl_total,blk_total,tov_total,pf_total,pts_total,+/-_total,ts%_total,efg%_total,3par_total,ftr_total,orb%_total,drb%_total,trb%_total,ast%_total,stl%_total,blk%_total,tov%_total,usg%_total,ortg_total,drtg_total,mp_max,mp_max,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,team,total,date,home,index_opp,mp_total_opp,mp_total_opp,fg_total_opp,fga_total_opp,fg%_total_opp,3p_total_opp,3pa_total_opp,3p%_total_opp,ft_total_opp,fta_total_opp,ft%_total_opp,orb_total_opp,drb_total_opp,trb_total_opp,ast_total_opp,stl_total_opp,blk_total_opp,tov_total_opp,pf_total_opp,pts_total_opp,+/-_total_opp,ts%_total_opp,efg%_total_opp,3par_total_opp,ftr_total_opp,orb%_total_opp,drb%_total_opp,trb%_total_opp,ast%_total_opp,stl%_total_opp,blk%_total_opp,tov%_total_opp,usg%_total_opp,ortg_total_opp,drtg_total_opp,mp_max_opp,mp_max_opp,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,team_opp,total_opp,date_opp,home_opp,won
0,240.0,240.0,39.0,90.0,0.433,6.0,23.0,0.261,20.0,30.0,0.667,15.0,26.0,41.0,26.0,12.0,2.0,11.0,27.0,104.0,,0.504,0.467,0.256,0.333,30.0,86.7,51.3,66.7,12.5,4.5,9.6,100.0,108.4,119.9,,,7.0,15.0,1.0,2.0,6.0,1.0,7.0,10.0,1.0,5.0,5.0,9.0,6.0,2.0,1.0,3.0,5.0,19.0,14.0,1.031,1.0,1.0,1.333,21.7,47.5,24.4,27.3,5.0,4.6,25.0,34.6,160.0,128.0,LAL,104,2017-04-01 15:30:00,0,1,240.0,240.0,38.0,69.0,0.551,11.0,25.0,0.44,28.0,34.0,0.824,4.0,35.0,39.0,24.0,8.0,5.0,17.0,19.0,115.0,,0.685,0.63,0.362,0.493,13.3,70.0,48.8,63.2,8.3,7.5,16.8,100.0,119.9,108.4,,,12.0,15.0,1.0,4.0,7.0,1.0,10.0,10.0,1.0,2.0,11.0,12.0,12.0,4.0,2.0,6.0,5.0,36.0,27.0,1.064,1.0,1.0,2.0,20.1,36.2,30.1,58.3,5.1,6.5,28.5,31.0,227.0,115.0,LAC,115,2017-04-01 15:30:00,1,False
1,240.0,240.0,38.0,69.0,0.551,11.0,25.0,0.44,28.0,34.0,0.824,4.0,35.0,39.0,24.0,8.0,5.0,17.0,19.0,115.0,,0.685,0.63,0.362,0.493,13.3,70.0,48.8,63.2,8.3,7.5,16.8,100.0,119.9,108.4,,,12.0,15.0,1.0,4.0,7.0,1.0,10.0,10.0,1.0,2.0,11.0,12.0,12.0,4.0,2.0,6.0,5.0,36.0,27.0,1.064,1.0,1.0,2.0,20.1,36.2,30.1,58.3,5.1,6.5,28.5,31.0,227.0,115.0,LAC,115,2017-04-01 15:30:00,1,0,240.0,240.0,39.0,90.0,0.433,6.0,23.0,0.261,20.0,30.0,0.667,15.0,26.0,41.0,26.0,12.0,2.0,11.0,27.0,104.0,,0.504,0.467,0.256,0.333,30.0,86.7,51.3,66.7,12.5,4.5,9.6,100.0,108.4,119.9,,,7.0,15.0,1.0,2.0,6.0,1.0,7.0,10.0,1.0,5.0,5.0,9.0,6.0,2.0,1.0,3.0,5.0,19.0,14.0,1.031,1.0,1.0,1.333,21.7,47.5,24.4,27.3,5.0,4.6,25.0,34.6,160.0,128.0,LAL,104,2017-04-01 15:30:00,0,True
2,240.0,240.0,40.0,90.0,0.444,11.0,28.0,0.393,13.0,17.0,0.765,11.0,34.0,45.0,25.0,4.0,1.0,13.0,16.0,104.0,,0.533,0.506,0.311,0.189,24.4,85.0,52.9,62.5,4.2,1.8,11.8,100.0,108.3,110.4,,,12.0,19.0,0.75,3.0,6.0,1.0,5.0,6.0,1.0,5.0,7.0,12.0,6.0,3.0,1.0,3.0,3.0,29.0,14.0,1.125,1.125,1.0,0.667,14.3,35.6,18.2,32.0,5.8,2.3,40.0,28.0,160.0,115.0,ATL,104,2017-04-01 17:00:00,0,1,240.0,240.0,40.0,85.0,0.471,12.0,30.0,0.4,14.0,14.0,1.0,6.0,34.0,40.0,25.0,6.0,4.0,12.0,17.0,106.0,,0.581,0.541,0.353,0.165,15.0,75.6,47.1,62.5,6.2,6.5,11.6,100.0,110.4,108.3,,,11.0,20.0,0.611,3.0,8.0,0.667,10.0,10.0,1.0,2.0,9.0,11.0,8.0,3.0,2.0,7.0,4.0,33.0,17.0,0.85,0.8,1.0,0.5,10.5,27.7,17.5,32.7,4.2,5.8,28.0,32.7,168.0,114.0,CHI,106,2017-04-01 17:00:00,1,False
3,240.0,240.0,40.0,85.0,0.471,12.0,30.0,0.4,14.0,14.0,1.0,6.0,34.0,40.0,25.0,6.0,4.0,12.0,17.0,106.0,,0.581,0.541,0.353,0.165,15.0,75.6,47.1,62.5,6.2,6.5,11.6,100.0,110.4,108.3,,,11.0,20.0,0.611,3.0,8.0,0.667,10.0,10.0,1.0,2.0,9.0,11.0,8.0,3.0,2.0,7.0,4.0,33.0,17.0,0.85,0.8,1.0,0.5,10.5,27.7,17.5,32.7,4.2,5.8,28.0,32.7,168.0,114.0,CHI,106,2017-04-01 17:00:00,1,0,240.0,240.0,40.0,90.0,0.444,11.0,28.0,0.393,13.0,17.0,0.765,11.0,34.0,45.0,25.0,4.0,1.0,13.0,16.0,104.0,,0.533,0.506,0.311,0.189,24.4,85.0,52.9,62.5,4.2,1.8,11.8,100.0,108.3,110.4,,,12.0,19.0,0.75,3.0,6.0,1.0,5.0,6.0,1.0,5.0,7.0,12.0,6.0,3.0,1.0,3.0,3.0,29.0,14.0,1.125,1.125,1.0,0.667,14.3,35.6,18.2,32.0,5.8,2.3,40.0,28.0,160.0,115.0,ATL,104,2017-04-01 17:00:00,0,True
4,240.0,240.0,45.0,91.0,0.495,10.0,25.0,0.4,11.0,15.0,0.733,11.0,31.0,42.0,26.0,9.0,2.0,14.0,15.0,111.0,,0.569,0.549,0.275,0.165,23.9,77.5,48.8,57.8,9.0,3.2,12.5,100.0,111.0,121.0,,,13.0,20.0,0.65,4.0,7.0,0.571,7.0,8.0,1.0,4.0,11.0,15.0,11.0,2.0,1.0,4.0,4.0,27.0,10.0,0.698,0.675,0.571,0.667,12.9,37.3,23.6,40.6,3.1,4.1,44.4,30.5,140.0,128.0,ORL,111,2017-04-01 18:00:00,0,1,240.0,240.0,50.0,94.0,0.532,8.0,31.0,0.258,13.0,16.0,0.813,9.0,35.0,44.0,26.0,8.0,5.0,11.0,15.0,121.0,,0.599,0.574,0.33,0.17,22.5,76.1,51.2,52.0,8.0,7.6,9.8,100.0,121.0,111.0,,,12.0,22.0,0.917,2.0,6.0,0.5,4.0,5.0,1.0,2.0,6.0,8.0,8.0,2.0,2.0,3.0,4.0,30.0,20.0,0.958,0.958,1.0,1.0,10.7,26.2,18.7,30.4,4.8,5.2,41.0,38.5,175.0,116.0,BRK,121,2017-04-01 18:00:00,1,False
5,240.0,240.0,50.0,94.0,0.532,8.0,31.0,0.258,13.0,16.0,0.813,9.0,35.0,44.0,26.0,8.0,5.0,11.0,15.0,121.0,,0.599,0.574,0.33,0.17,22.5,76.1,51.2,52.0,8.0,7.6,9.8,100.0,121.0,111.0,,,12.0,22.0,0.917,2.0,6.0,0.5,4.0,5.0,1.0,2.0,6.0,8.0,8.0,2.0,2.0,3.0,4.0,30.0,20.0,0.958,0.958,1.0,1.0,10.7,26.2,18.7,30.4,4.8,5.2,41.0,38.5,175.0,116.0,BRK,121,2017-04-01 18:00:00,1,0,240.0,240.0,45.0,91.0,0.495,10.0,25.0,0.4,11.0,15.0,0.733,11.0,31.0,42.0,26.0,9.0,2.0,14.0,15.0,111.0,,0.569,0.549,0.275,0.165,23.9,77.5,48.8,57.8,9.0,3.2,12.5,100.0,111.0,121.0,,,13.0,20.0,0.65,4.0,7.0,0.571,7.0,8.0,1.0,4.0,11.0,15.0,11.0,2.0,1.0,4.0,4.0,27.0,10.0,0.698,0.675,0.571,0.667,12.9,37.3,23.6,40.6,3.1,4.1,44.4,30.5,140.0,128.0,ORL,111,2017-04-01 18:00:00,0,True
6,240.0,240.0,44.0,78.0,0.564,11.0,19.0,0.579,24.0,33.0,0.727,7.0,33.0,40.0,27.0,5.0,4.0,17.0,27.0,123.0,,0.665,0.635,0.244,0.423,18.4,76.7,49.4,61.4,5.0,6.7,15.5,100.0,121.9,116.0,,,9.0,15.0,0.857,4.0,6.0,0.8,11.0,14.0,1.0,2.0,8.0,10.0,11.0,2.0,3.0,4.0,5.0,22.0,18.0,1.079,1.071,0.571,1.75,14.3,32.6,21.6,60.3,3.5,8.5,45.0,26.2,206.0,121.0,SAC,123,2017-04-01 20:00:00,0,1,240.0,240.0,39.0,87.0,0.448,9.0,27.0,0.333,30.0,38.0,0.789,10.0,31.0,41.0,27.0,8.0,4.0,10.0,23.0,117.0,,0.564,0.5,0.31,0.437,23.3,81.6,50.6,69.2,7.9,6.8,8.8,100.0,116.0,121.9,,,13.0,20.0,0.65,4.0,7.0,0.6,9.0,10.0,1.0,3.0,8.0,11.0,13.0,3.0,2.0,5.0,6.0,32.0,13.0,0.707,0.75,0.625,1.0,15.7,35.6,25.0,50.6,4.3,22.9,18.9,34.2,150.0,127.0,MIN,117,2017-04-01 20:00:00,1,True
7,240.0,240.0,39.0,87.0,0.448,9.0,27.0,0.333,30.0,38.0,0.789,10.0,31.0,41.0,27.0,8.0,4.0,10.0,23.0,117.0,,0.564,0.5,0.31,0.437,23.3,81.6,50.6,69.2,7.9,6.8,8.8,100.0,116.0,121.9,,,13.0,20.0,0.65,4.0,7.0,0.6,9.0,10.0,1.0,3.0,8.0,11.0,13.0,3.0,2.0,5.0,6.0,32.0,13.0,0.707,0.75,0.625,1.0,15.7,35.6,25.0,50.6,4.3,22.9,18.9,34.2,150.0,127.0,MIN,117,2017-04-01 20:00:00,1,0,240.0,240.0,44.0,78.0,0.564,11.0,19.0,0.579,24.0,33.0,0.727,7.0,33.0,40.0,27.0,5.0,4.0,17.0,27.0,123.0,,0.665,0.635,0.244,0.423,18.4,76.7,49.4,61.4,5.0,6.7,15.5,100.0,121.9,116.0,,,9.0,15.0,0.857,4.0,6.0,0.8,11.0,14.0,1.0,2.0,8.0,10.0,11.0,2.0,3.0,4.0,5.0,22.0,18.0,1.079,1.071,0.571,1.75,14.3,32.6,21.6,60.3,3.5,8.5,45.0,26.2,206.0,121.0,SAC,123,2017-04-01 20:00:00,0,False
8,240.0,240.0,44.0,84.0,0.524,3.0,10.0,0.3,26.0,32.0,0.813,13.0,30.0,43.0,17.0,8.0,6.0,17.0,26.0,117.0,,0.596,0.542,0.119,0.381,30.2,73.2,51.2,38.6,7.9,10.9,14.8,100.0,115.2,128.0,,,10.0,25.0,0.833,2.0,4.0,1.0,11.0,14.0,1.0,4.0,11.0,13.0,7.0,3.0,2.0,7.0,6.0,31.0,8.0,0.872,0.833,0.25,0.56,28.3,37.4,25.4,24.5,6.0,11.1,29.1,37.8,207.0,135.0,PHO,117,2017-04-01 22:00:00,0,1,240.0,240.0,43.0,92.0,0.467,15.0,37.0,0.405,29.0,31.0,0.935,11.0,30.0,41.0,21.0,12.0,3.0,12.0,23.0,130.0,,0.615,0.549,0.402,0.337,26.8,69.8,48.8,48.8,11.8,4.1,10.2,100.0,128.0,115.2,,,10.0,19.0,0.75,5.0,11.0,0.833,13.0,13.0,1.0,5.0,8.0,13.0,7.0,3.0,1.0,4.0,5.0,31.0,22.0,0.75,0.75,0.8,0.813,16.6,25.3,21.1,32.7,16.8,2.7,20.0,30.3,144.0,124.0,POR,130,2017-04-01 22:00:00,1,False
9,240.0,240.0,43.0,92.0,0.467,15.0,37.0,0.405,29.0,31.0,0.935,11.0,30.0,41.0,21.0,12.0,3.0,12.0,23.0,130.0,,0.615,0.549,0.402,0.337,26.8,69.8,48.8,48.8,11.8,4.1,10.2,100.0,128.0,115.2,,,10.0,19.0,0.75,5.0,11.0,0.833,13.0,13.0,1.0,5.0,8.0,13.0,7.0,3.0,1.0,4.0,5.0,31.0,22.0,0.75,0.75,0.8,0.813,16.6,25.3,21.1,32.7,16.8,2.7,20.0,30.3,144.0,124.0,POR,130,2017-04-01 22:00:00,1,0,240.0,240.0,44.0,84.0,0.524,3.0,10.0,0.3,26.0,32.0,0.813,13.0,30.0,43.0,17.0,8.0,6.0,17.0,26.0,117.0,,0.596,0.542,0.119,0.381,30.2,73.2,51.2,38.6,7.9,10.9,14.8,100.0,115.2,128.0,,,10.0,25.0,0.833,2.0,4.0,1.0,11.0,14.0,1.0,4.0,11.0,13.0,7.0,3.0,2.0,7.0,6.0,31.0,8.0,0.872,0.833,0.25,0.56,28.3,37.4,25.4,24.5,6.0,11.1,29.1,37.8,207.0,135.0,PHO,117,2017-04-01 22:00:00,0,True
